name,engine,kmpl,brand,selling_price,ex_showroom_price
"Royal Enfield Classic 350",300-400,24,Royal_Enfield,175000,147000
"Honda Dio",100-200,52,Honda,45000,55000
"Royal Enfield Classic Gunmetal Grey",300-400,29,Royal_Enfield,150000,148114
"Yamaha Fazer FI V 2.0 [2016-2018]",100-200,56,Yamaha,65000,89643
"Yamaha SZ [2013-2014]",100-200,59,Yamaha,20000,30000
"Honda CB Twister",100-200,63,Honda,18000,53857
"Honda CB Hornet 160R",100-200,53,Honda,78500,87719
"Royal Enfield Bullet 350 [2007-2011]",200-300,43,Royal_Enfield,180000,190000
"Hero Honda CBZ extreme",100-200,53,Hero,30000,78700
"Bajaj Discover 125",100-200,59,Bajaj,50000,60122
"Yamaha FZ16",100-200,51,Yamaha,35000,78712
"Honda Navi",100-200,57,Honda,28000,47255
"Bajaj Avenger Street 220",200-300,41,Bajaj,80000,95955
"Yamaha YZF R3",100-200,64,Yamaha,365000,351680
"Jawa 42",0-100,66,Jawa,185000,195000
"Suzuki Access 125 [2007-2016]",200-300,47,Suzuki,25000,58314
"Hero Honda Glamour",100-200,47,Hero,25000,35000
"Yamaha YZF R15 S",100-200,59,Yamaha,40000,117926
"Royal Enfield Classic Gunmetal Grey",300-400,30,Royal_Enfield,150000,148114
"Yamaha FZ25",100-200,49,Yamaha,120000,132680
"Hero Passion Pro 110",100-200,45,Hero,15000,25000
"Honda Navi [2016-2017]",100-200,53,Honda,26000,44389
"Honda Activa i",100-200,46,Honda,32000,53900
"Jawa Standard",0-100,71,Jawa,180000,190000
"Royal Enfield Thunderbird 350",300-400,24,Royal_Enfield,110000,120000
"Honda Dream Yuga",100-200,48,Honda,25000,56147
"TVS Apache RTR 160 4V",100-200,55,TVS,80000,90000
"Honda Navi [2016-2017]",100-200,46,Honda,42000,44389
"Yamaha Fazer [2009-2016]",200-300,36,Yamaha,40000,84751
"Hero Honda Splendor NXG",100-200,60,Hero,21000,31000
"Hero Glamour 125",100-200,59,Hero,55000,61600
"Yamaha FZ S [2012-2016]",100-200,50,Yamaha,38000,79432
"Hero Xtreme Sports",100-200,49,Hero,43000,78350
"Honda X-Blade",100-200,52,Honda,65000,75000
"Honda CB Shine SP",100-200,48,Honda,62000,71049
"Honda Activa 5G",100-200,58,Honda,60000,57557
"Hero Glamour 125",100-200,63,Hero,45000,61600
"Honda CBR-250R",100-200,58,Honda,120000,202310
"Hero Honda Passion PRO [2012]",100-200,53,Hero,30000,40000
"Royal Enfield Thunderbird 350",300-400,28,Royal_Enfield,90000,100000
"Bajaj Dominar 400",300-400,27,Bajaj,125000,160000
"Hero Glamour FI",100-200,50,Hero,50000,71150
"KTM 390 Duke",300-400,30,KTM,175000,185000
"Hero Passion XPro",100-200,64,Hero,28000,56750
"Yamaha FZ S V 2.0",100-200,48,Yamaha,85000,84042
"Hero Achiever 150",100-200,63,Hero,29900,69750
"Bajaj Discover 125",100-200,46,Bajaj,25000,60122
"Yamaha FZ16",100-200,55,Yamaha,30000,78712
"Yamaha Saluto",100-200,54,Yamaha,60000,59844
"Yamaha FZ16",100-200,62,Yamaha,35000,78712
"Bajaj Discover 100",100-200,63,Bajaj,25000,42859
"Honda CB Trigger",100-200,64,Honda,30000,73413
"Royal Enfield Electra 5 S",300-400,28,Royal_Enfield,90000,100000
"Hero Splendor PRO",100-200,45,Hero,35000,49900
"Honda Activa 5G",100-200,48,Honda,70000,59422
"Hero Honda Passion Plus",100-200,60,Hero,25000,35000
